2020       NAZIONALE        BARI          CAGLIARI         FIRENZE         GENOVA          MILANO          NAPOLI          PALERMO          ROMA           TORINO          VENEZIA     2020
02 gen  52 09 28 35 70  40 71 05 51 90  71 51 43 24 25  52 27 61 18 77  62 42 47 25 04  77 03 23 62 55  79 50 75 38 30  25 42 59 11 04  12 88 13 50 42  48 52 76 68 66  49 26 13 46 74    1
04 gen  56 84 82 73 30  15 57 03 27 85  52 87 49 83 76  21 33 44 54 09  69 30 02 15 14  31 59 80 58 11  28 69 90 50 01  56 10 46 64 42  77 03 30 59 57  48 34 27 90 11  22 48 02 28 56    2
07 gen  43 28 81 30 73  61 33 81 40 04  72 89 67 25 32  68 64 54 72 88  11 06 24 26 07  05 16 53 03 09  54 68 35 79 75  17 38 51 26 11  19 70 51 89 60  56 35 41 17 05  32 33 31 52 57    3
09 gen  34 24 45 61 06  60 50 61 26 08  83 81 30 32 85  07 89 75 49 36  44 70 32 06 01  73 88 81 45 52  51 40 12 13 09  53 40 62 60 31  65 16 03 45 34  81 06 05 90 74  24 17 23 42 39    4
11 gen  60 38 34 49 67  74 46 05 36 15  02 27 01 30 50  77 84 31 14 15  47 82 43 55 02  26 82 69 75 66  37 80 40 53 41  62 80 16 01 42  88 81 54 24 90  08 33 11 51 06  25 40 10 74 51    5
14 gen  41 64 75 88 31  57 52 48 26 31  05 32 02 72 78  25 88 11 70 35  54 68 02 86 40  14 50 25 47 43  81 46 41 50 66  86 58 64 50 46  11 26 28 69 44  48 76 88 72 13  58 25 87 68 78    6
16 gen  51 57 09 19 34  38 30 61 87 34  63 90 13 38 46  27 16 11 52 70  63 48 30 16 29  41 26 15 63 22  37 45 66 21 20  25 10 74 87 78  07 58 66 85 78  70 74 53 27 49  90 26 34 45 76    7
18 gen  80 18 48 02 67  50 69 66 53 85  05 81 46 82 37  71 40 73 41 74  57 10 51 35 16  73 28 87 15 88  22 77 89 19 41  14 09 04 03 34  40 15 45 35 11  08 30 01 72 50  49 43 76 20 38    8
END

