Freq: 0, terno [02,26,32], data 0000-00-00 Ruota: BARI
Freq: 0, terno [14,25,87], data 0000-00-00 Ruota: BARI
Freq: 0, terno [11,14,17], data 0000-00-00 Ruota: BARI
Freq: 0, terno [37,69,75], data 0000-00-00 Ruota: BARI
Freq: 0, terno [02,27,46], data 0000-00-00 Ruota: BARI
Freq: 0, terno [41,60,83], data 0000-00-00 Ruota: BARI
Freq: 0, terno [06,45,89], data 0000-00-00 Ruota: BARI
Freq: 0, terno [15,32,41], data 0000-00-00 Ruota: BARI
Freq: 0, terno [36,42,84], data 0000-00-00 Ruota: BARI
Freq: 0, terno [15,46,55], data 0000-00-00 Ruota: BARI
Freq: 0, terno [05,44,59], data 0000-00-00 Ruota: BARI
Freq: 0, terno [11,76,86], data 0000-00-00 Ruota: BARI
Freq: 0, terno [24,72,86], data 0000-00-00 Ruota: BARI
Freq: 0, terno [25,45,63], data 0000-00-00 Ruota: BARI
Freq: 0, terno [03,10,61], data 0000-00-00 Ruota: BARI
Freq: 0, terno [49,68,70], data 0000-00-00 Ruota: BARI
Freq: 0, terno [29,55,87], data 0000-00-00 Ruota: BARI
Freq: 0, terno [23,32,40], data 0000-00-00 Ruota: BARI
Freq: 0, terno [21,24,27], data 0000-00-00 Ruota: BARI
Freq: 0, terno [14,41,82], data 0000-00-00 Ruota: BARI
Freq: 0, terno [10,30,34], data 0000-00-00 Ruota: BARI
Freq: 0, terno [07,33,37], data 0000-00-00 Ruota: BARI
Freq: 0, terno [45,50,87], data 0000-00-00 Ruota: BARI
Freq: 0, terno [17,47,83], data 0000-00-00 Ruota: BARI
Freq: 0, terno [22,41,43], data 0000-00-00 Ruota: BARI
Freq: 0, terno [31,60,86], data 0000-00-00 Ruota: BARI
Freq: 0, terno [07,51,67], data 0000-00-00 Ruota: BARI
Freq: 0, terno [27,28,87], data 0000-00-00 Ruota: BARI
Freq: 0, terno [23,55,67], data 0000-00-00 Ruota: BARI
Freq: 0, terno [08,09,32], data 0000-00-00 Ruota: BARI
Freq: 0, terno [05,22,74], data 0000-00-00 Ruota: BARI
Freq: 0, terno [07,32,34], data 0000-00-00 Ruota: BARI
Freq: 0, terno [49,67,80], data 0000-00-00 Ruota: BARI
Freq: 0, terno [39,40,69], data 0000-00-00 Ruota: BARI
Freq: 0, terno [13,44,45], data 0000-00-00 Ruota: BARI
Freq: 0, terno [02,53,82], data 0000-00-00 Ruota: BARI
Freq: 0, terno [18,64,73], data 0000-00-00 Ruota: BARI
Freq: 0, terno [33,51,65], data 0000-00-00 Ruota: BARI
Freq: 0, terno [01,31,89], data 0000-00-00 Ruota: BARI
Freq: 0, terno [11,43,73], data 0000-00-00 Ruota: BARI
Freq: 0, terno [25,74,87], data 0000-00-00 Ruota: BARI
Freq: 0, terno [51,62,74], data 0000-00-00 Ruota: BARI
Freq: 0, terno [20,28,44], data 0000-00-00 Ruota: BARI
Freq: 0, terno [21,36,70], data 0000-00-00 Ruota: BARI
Freq: 0, terno [15,53,62], data 0000-00-00 Ruota: BARI
Freq: 0, terno [15,23,72], data 0000-00-00 Ruota: BARI
Freq: 0, terno [42,61,66], data 0000-00-00 Ruota: BARI
Freq: 0, terno [03,47,71], data 0000-00-00 Ruota: BARI
Freq: 0, terno [38,44,73], data 0000-00-00 Ruota: BARI
Freq: 0, terno [33,69,90], data 0000-00-00 Ruota: BARI
Freq: 0, terno [33,52,84], data 0000-00-00 Ruota: BARI
Freq: 0, terno [36,53,55], data 0000-00-00 Ruota: BARI
Freq: 0, terno [42,54,84], data 0000-00-00 Ruota: BARI
Freq: 0, terno [25,39,56], data 0000-00-00 Ruota: BARI
Freq: 0, terno [06,09,42], data 0000-00-00 Ruota: BARI
Freq: 0, terno [14,47,70], data 0000-00-00 Ruota: BARI
Freq: 0, terno [22,42,64], data 0000-00-00 Ruota: BARI
Freq: 0, terno [12,24,84], data 0000-00-00 Ruota: BARI
Freq: 0, terno [11,25,89], data 0000-00-00 Ruota: BARI
Freq: 0, terno [03,09,30], data 0000-00-00 Ruota: BARI
Freq: 0, terno [06,19,46], data 0000-00-00 Ruota: BARI
Freq: 0, terno [01,28,37], data 0000-00-00 Ruota: BARI
Freq: 0, terno [03,16,40], data 0000-00-00 Ruota: BARI
Freq: 0, terno [03,09,43], data 0000-00-00 Ruota: BARI
Freq: 0, terno [19,30,77], data 0000-00-00 Ruota: BARI
Freq: 0, terno [07,20,27], data 0000-00-00 Ruota: BARI
Freq: 0, terno [25,26,44], data 0000-00-00 Ruota: BARI
Freq: 0, terno [37,74,83], data 0000-00-00 Ruota: BARI
Freq: 0, terno [17,73,76], data 0000-00-00 Ruota: BARI
Freq: 0, terno [32,59,83], data 0000-00-00 Ruota: BARI
Freq: 0, terno [11,39,70], data 0000-00-00 Ruota: BARI
Freq: 0, terno [24,37,46], data 0000-00-00 Ruota: BARI
Freq: 0, terno [36,59,85], data 0000-00-00 Ruota: BARI
Freq: 0, terno [32,53,73], data 0000-00-00 Ruota: BARI
Freq: 0, terno [07,48,50], data 0000-00-00 Ruota: BARI
Freq: 0, terno [40,60,67], data 0000-00-00 Ruota: BARI
Freq: 0, terno [18,34,65], data 0000-00-00 Ruota: BARI
Freq: 0, terno [02,09,38], data 0000-00-00 Ruota: BARI
Freq: 0, terno [03,11,65], data 0000-00-00 Ruota: BARI
Freq: 0, terno [31,60,63], data 0000-00-00 Ruota: BARI
Freq: 0, terno [09,21,50], data 0000-00-00 Ruota: BARI
Freq: 0, terno [38,53,70], data 0000-00-00 Ruota: BARI
Freq: 0, terno [32,48,84], data 0000-00-00 Ruota: BARI
Freq: 0, terno [23,74,83], data 0000-00-00 Ruota: BARI
Freq: 0, terno [35,41,66], data 0000-00-00 Ruota: BARI
Freq: 0, terno [12,77,81], data 0000-00-00 Ruota: BARI
Freq: 0, terno [10,82,86], data 0000-00-00 Ruota: BARI
Freq: 0, terno [40,46,50], data 0000-00-00 Ruota: BARI
Freq: 0, terno [05,49,64], data 0000-00-00 Ruota: BARI
Freq: 0, terno [02,20,81], data 0000-00-00 Ruota: BARI
Freq: 0, terno [16,42,65], data 0000-00-00 Ruota: BARI
Freq: 0, terno [17,19,52], data 0000-00-00 Ruota: BARI
Freq: 0, terno [02,19,31], data 0000-00-00 Ruota: BARI
Freq: 0, terno [31,60,80], data 0000-00-00 Ruota: BARI
Freq: 0, terno [16,83,85], data 0000-00-00 Ruota: BARI
Freq: 0, terno [40,57,76], data 0000-00-00 Ruota: BARI
Freq: 0, terno [01,43,57], data 0000-00-00 Ruota: BARI
Freq: 0, terno [15,50,90], data 0000-00-00 Ruota: BARI
Freq: 0, terno [22,51,89], data 0000-00-00 Ruota: BARI
Freq: 0, terno [04,10,53], data 0000-00-00 Ruota: BARI
Freq: 0, terno [20,44,78], data 0000-00-00 Ruota: BARI
Freq: 0, terno [27,77,82], data 0000-00-00 Ruota: BARI
Freq: 0, terno [30,37,65], data 0000-00-00 Ruota: BARI
Freq: 0, terno [19,33,81], data 0000-00-00 Ruota: BARI
Freq: 0, terno [35,71,80], data 0000-00-00 Ruota: BARI
Freq: 0, terno [19,75,82], data 0000-00-00 Ruota: BARI
Freq: 0, terno [38,58,61], data 0000-00-00 Ruota: BARI
Freq: 0, terno [22,24,86], data 0000-00-00 Ruota: BARI
Freq: 0, terno [16,21,26], data 0000-00-00 Ruota: BARI
Freq: 0, terno [27,37,52], data 0000-00-00 Ruota: BARI
Freq: 0, terno [17,38,53], data 0000-00-00 Ruota: BARI
Freq: 0, terno [12,34,51], data 0000-00-00 Ruota: BARI
Freq: 0, terno [21,38,43], data 0000-00-00 Ruota: BARI
Freq: 0, terno [20,23,79], data 0000-00-00 Ruota: BARI
Freq: 0, terno [49,56,81], data 0000-00-00 Ruota: BARI
Freq: 0, terno [06,26,55], data 0000-00-00 Ruota: BARI
Freq: 0, terno [33,58,73], data 0000-00-00 Ruota: BARI
Freq: 0, terno [13,69,72], data 0000-00-00 Ruota: BARI
Freq: 0, terno [47,77,88], data 0000-00-00 Ruota: BARI
Freq: 0, terno [41,62,87], data 0000-00-00 Ruota: BARI
Freq: 0, terno [04,30,80], data 0000-00-00 Ruota: BARI
Freq: 0, terno [25,53,56], data 0000-00-00 Ruota: BARI
Freq: 0, terno [13,62,79], data 0000-00-00 Ruota: BARI
Freq: 0, terno [15,40,74], data 0000-00-00 Ruota: BARI
Freq: 0, terno [34,62,89], data 0000-00-00 Ruota: BARI
Freq: 0, terno [05,11,57], data 0000-00-00 Ruota: BARI
Freq: 0, terno [34,48,55], data 0000-00-00 Ruota: BARI
Freq: 0, terno [22,60,70], data 0000-00-00 Ruota: BARI
Freq: 0, terno [12,62,69], data 0000-00-00 Ruota: BARI
Freq: 0, terno [10,20,21], data 0000-00-00 Ruota: BARI
Freq: 0, terno [14,72,80], data 0000-00-00 Ruota: BARI
Freq: 0, terno [05,08,18], data 0000-00-00 Ruota: BARI
Freq: 0, terno [34,40,89], data 0000-00-00 Ruota: BARI
Freq: 0, terno [16,21,59], data 0000-00-00 Ruota: BARI
Freq: 0, terno [31,38,81], data 0000-00-00 Ruota: BARI
Freq: 0, terno [04,34,85], data 0000-00-00 Ruota: BARI
Freq: 0, terno [38,60,68], data 0000-00-00 Ruota: BARI
Freq: 0, terno [17,41,55], data 0000-00-00 Ruota: BARI
Freq: 0, terno [08,68,82], data 0000-00-00 Ruota: BARI
Freq: 0, terno [27,40,52], data 0000-00-00 Ruota: BARI
Freq: 0, terno [15,35,90], data 0000-00-00 Ruota: BARI
Freq: 0, terno [42,53,56], data 0000-00-00 Ruota: BARI
Freq: 0, terno [18,52,76], data 0000-00-00 Ruota: BARI
Freq: 0, terno [21,30,54], data 0000-00-00 Ruota: BARI
Freq: 0, terno [01,57,85], data 0000-00-00 Ruota: BARI
Freq: 0, terno [08,44,82], data 0000-00-00 Ruota: BARI
Freq: 0, terno [42,61,68], data 0000-00-00 Ruota: BARI
Freq: 0, terno [02,24,48], data 0000-00-00 Ruota: BARI
Freq: 0, terno [10,41,51], data 0000-00-00 Ruota: BARI
Freq: 0, terno [06,29,79], data 0000-00-00 Ruota: BARI
Freq: 0, terno [18,60,87], data 0000-00-00 Ruota: BARI
Freq: 0, terno [29,85,89], data 0000-00-00 Ruota: BARI
Freq: 0, terno [08,24,84], data 0000-00-00 Ruota: BARI
Freq: 0, terno [30,79,84], data 0000-00-00 Ruota: BARI
Freq: 0, terno [20,31,41], data 0000-00-00 Ruota: BARI
Freq: 0, terno [08,38,87], data 0000-00-00 Ruota: BARI
Freq: 0, terno [09,34,38], data 0000-00-00 Ruota: BARI
Freq: 0, terno [20,32,71], data 0000-00-00 Ruota: BARI
Freq: 0, terno [14,43,64], data 0000-00-00 Ruota: BARI
Freq: 0, terno [08,12,84], data 0000-00-00 Ruota: BARI
Freq: 0, terno [16,62,68], data 0000-00-00 Ruota: BARI
Freq: 0, terno [43,50,86], data 0000-00-00 Ruota: BARI
Freq: 0, terno [01,68,89], data 0000-00-00 Ruota: BARI
Freq: 0, terno [49,57,60], data 0000-00-00 Ruota: BARI
Freq: 0, terno [02,22,35], data 0000-00-00 Ruota: BARI
Freq: 0, terno [27,46,65], data 0000-00-00 Ruota: BARI
Freq: 0, terno [24,37,66], data 0000-00-00 Ruota: BARI
Freq: 0, terno [05,06,82], data 0000-00-00 Ruota: BARI
Freq: 0, terno [05,46,56], data 0000-00-00 Ruota: BARI
Freq: 0, terno [29,65,79], data 0000-00-00 Ruota: BARI
Freq: 0, terno [15,32,73], data 0000-00-00 Ruota: BARI
Freq: 0, terno [10,38,61], data 0000-00-00 Ruota: BARI
Freq: 0, terno [12,26,40], data 0000-00-00 Ruota: BARI
Freq: 0, terno [37,40,83], data 0000-00-00 Ruota: BARI
Freq: 0, terno [10,11,30], data 0000-00-00 Ruota: BARI
Freq: 0, terno [48,86,89], data 0000-00-00 Ruota: BARI
Freq: 0, terno [29,39,81], data 0000-00-00 Ruota: BARI
