Freq: 0, terno [14,27,76], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [37,66,90], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [30,67,80], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [27,51,79], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [42,46,48], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [03,33,42], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [36,46,81], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [01,06,68], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [03,11,50], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [36,37,77], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [21,40,54], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [21,55,72], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [04,38,64], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [08,63,85], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [12,42,74], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [08,31,60], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [28,29,42], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [29,43,87], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [31,57,77], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [15,71,80], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [30,51,59], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [07,17,77], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [04,44,52], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [25,38,44], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [24,25,38], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [08,32,39], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [27,67,89], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [05,22,25], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [04,53,60], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [12,27,83], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [27,63,77], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [10,33,49], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [01,34,80], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [03,62,87], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [07,14,44], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [02,38,79], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [05,16,30], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [17,30,72], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [16,44,53], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [16,27,79], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [23,26,44], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [18,40,51], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [20,42,55], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [06,64,71], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [41,63,80], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [21,33,86], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [25,71,75], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [34,37,44], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [32,38,83], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [22,48,59], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [21,24,67], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [30,44,70], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [41,71,74], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [29,46,87], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [14,37,56], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [37,70,80], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [38,69,76], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [09,15,70], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [03,08,60], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [45,51,82], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [01,35,83], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [04,27,89], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [15,39,63], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [10,67,77], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [28,45,74], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [06,41,54], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [40,73,79], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [03,21,54], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [47,83,85], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [31,74,77], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [22,52,65], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [31,80,84], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [24,37,41], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [03,41,56], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [12,72,80], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [37,59,78], data 0000-00-00 Ruota: NAPOLI
Freq: 0, terno [27,78,82], data 0000-00-00 Ruota: NAPOLI
