Freq: 0, terno [15,22,39], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [08,19,49], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [13,27,89], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [21,45,90], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [07,49,58], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [33,53,58], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [16,22,58], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [07,41,77], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [28,39,85], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [08,09,85], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [10,59,90], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [15,18,90], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [01,37,53], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [08,19,45], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [04,50,71], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [41,46,50], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [01,77,89], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [23,58,77], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [05,52,80], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [30,69,89], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [42,45,75], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [08,33,83], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [08,41,85], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [20,36,72], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [03,48,70], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [32,34,75], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [31,46,63], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [03,07,08], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [14,57,66], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [37,45,66], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [04,23,86], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [18,23,24], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [21,48,65], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [01,29,48], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [25,66,90], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [34,65,73], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [45,46,61], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [12,29,89], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [23,30,77], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [03,05,47], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [42,58,84], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [41,53,88], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [08,24,67], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [07,66,76], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [24,75,77], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [17,38,73], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [15,16,80], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [41,63,86], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [17,52,77], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [20,32,63], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [45,67,79], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [45,50,69], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [36,61,66], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [04,51,78], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [42,43,54], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [07,08,48], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [48,86,90], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [02,45,61], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [01,51,76], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [21,34,42], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [09,58,82], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [26,60,82], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [17,35,81], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [12,25,86], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [28,34,64], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [43,62,80], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [15,68,70], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [17,28,58], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [31,47,78], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [06,71,80], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [12,30,65], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [26,66,80], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [02,46,47], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [30,68,78], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [34,63,75], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [19,61,75], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [46,74,80], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [29,79,83], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [45,51,82], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [20,70,77], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [24,45,48], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [02,28,61], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [09,54,75], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [49,52,60], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [04,36,51], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [02,75,79], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [02,49,85], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [22,32,43], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [05,29,40], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [10,80,86], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [07,74,81], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [13,69,89], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [13,68,75], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [41,58,69], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [42,72,79], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [15,34,72], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [04,29,59], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [09,29,75], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [40,59,74], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [37,59,72], data 0000-00-00 Ruota: NAZIONALE
Freq: 0, terno [10,59,76], data 0000-00-00 Ruota: NAZIONALE
