Freq: 0, terno [23,37,52], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [28,48,88], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [12,39,69], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [35,37,72], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [33,40,43], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [08,10,64], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [32,83,88], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [17,37,64], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [03,53,86], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [03,55,85], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [21,62,89], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [03,08,72], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [02,48,72], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [43,49,60], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [17,36,89], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [25,40,74], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [06,34,54], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [04,42,50], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [11,30,64], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [43,58,59], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [02,21,50], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [41,51,52], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [04,08,27], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [38,85,87], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [44,78,86], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [41,44,87], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [09,18,80], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [19,30,56], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [10,48,64], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [17,43,67], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [12,58,83], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [09,30,60], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [09,10,23], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [22,25,56], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [38,43,60], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [40,54,67], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [21,32,61], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [35,61,73], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [11,18,69], data 0000-00-00 Ruota: PALERMO
Freq: 0, terno [08,53,75], data 0000-00-00 Ruota: PALERMO
