Freq: 0, terno [34,36,88], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [13,14,47], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [13,14,16], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [17,28,62], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [05,25,72], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [12,43,79], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [29,33,84], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [28,58,75], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [21,50,81], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [44,57,59], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [23,27,53], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [23,29,66], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [02,44,71], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [09,19,59], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [33,41,60], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [17,40,54], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [41,42,75], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [12,51,73], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [49,67,86], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [30,48,82], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [04,13,20], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [32,88,89], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [17,39,79], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [16,21,46], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [23,27,41], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [33,72,76], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [11,41,49], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [39,46,64], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [29,69,70], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [25,28,88], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [08,36,74], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [21,31,89], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [27,68,74], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [08,31,51], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [35,52,68], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [13,14,26], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [09,26,28], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [04,23,75], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [03,11,57], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [38,52,88], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [36,87,90], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [29,51,75], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [03,26,57], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [24,47,69], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [10,65,88], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [31,53,85], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [03,50,73], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [31,61,74], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [09,32,62], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [31,42,83], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [27,46,77], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [17,46,65], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [01,38,86], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [02,19,72], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [10,12,90], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [11,64,88], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [16,25,35], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [02,53,75], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [34,68,76], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [25,38,43], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [05,31,64], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [27,79,86], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [17,25,86], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [34,35,62], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [06,25,83], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [44,78,89], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [05,58,75], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [21,58,81], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [25,81,87], data 0000-00-00 Ruota: TORINO
Freq: 0, terno [04,30,41], data 0000-00-00 Ruota: TORINO
