Freq: 0, terno [08,65,79], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [40,72,88], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [09,36,61], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [37,60,80], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [27,34,63], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [08,24,52], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [10,62,75], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [44,59,67], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [29,30,87], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [16,17,28], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [36,45,46], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [40,47,80], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [02,46,73], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [03,16,60], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [02,22,41], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [25,26,29], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [13,28,84], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [03,52,84], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [03,54,63], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [27,73,74], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [03,06,24], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [41,47,67], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [31,50,75], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [37,50,85], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [11,42,62], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [38,51,74], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [21,46,54], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [43,48,59], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [09,16,18], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [27,49,82], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [10,41,66], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [31,63,86], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [41,48,61], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [23,34,58], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [17,24,82], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [30,33,69], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [21,49,90], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [16,26,60], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [21,41,58], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [18,36,61], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [08,28,56], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [12,14,34], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [12,38,72], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [24,68,73], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [14,48,85], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [04,38,78], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [39,41,47], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [28,58,60], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [35,80,90], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [41,42,89], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [11,60,80], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [04,79,82], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [15,36,54], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [37,65,74], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [11,39,64], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [09,11,69], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [35,39,67], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [16,20,58], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [39,52,82], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [50,78,82], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [17,36,80], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [28,36,84], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [32,47,49], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [06,64,66], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [33,50,55], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [32,38,75], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [38,67,68], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [08,82,85], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [17,39,87], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [30,50,57], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [01,08,79], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [43,80,90], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [32,79,84], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [14,44,63], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [41,45,83], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [17,35,42], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [28,51,72], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [22,39,48], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [21,32,35], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [21,58,84], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [02,62,65], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [08,46,80], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [38,48,72], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [50,76,80], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [30,51,58], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [05,19,59], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [23,60,86], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [44,64,67], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [02,35,86], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [31,48,62], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [31,68,71], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [34,57,76], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [41,64,78], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [34,38,64], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [02,16,17], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [43,57,83], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [19,43,78], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [16,20,84], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [09,26,45], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [23,50,64], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [04,06,72], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [02,52,73], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [07,65,68], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [39,43,87], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [13,27,74], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [02,45,58], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [12,19,65], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [13,35,41], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [13,54,60], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [20,22,90], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [25,42,81], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [45,47,85], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [12,56,72], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [08,39,78], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [28,47,73], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [33,42,66], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [29,41,50], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [37,62,89], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [06,08,80], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [08,09,59], data 0000-00-00 Ruota: VENEZIA
Freq: 0, terno [32,38,81], data 0000-00-00 Ruota: VENEZIA
